Angle,Energy Ratio
0.01,0.0267868571602858
0.05,0.0300337904836643
0.1,0.0504764031225822
0.2,0.165486016575077
0.25,0.706573286928482
0.3,0.859264109007955
0.35,0.767635810040547
0.4,0.811509272675335
0.5,0.742764142741083
0.6,0.694915999354682
0.7,0.63479977783771
0.8,0.579101421884027
0.9,0.54880783318532
